기업명,연도,보고서유형,성별,정규직,계약직,총급여
HS화성,2023,반기보고서,여,0.0,0.0,928000000.0
HS화성,2023,사업보고서,남,0.0,0.0,23212000000.0
HS화성,2023,사업보고서,여,0.0,0.0,1989000000.0
INVENI,2022,반기보고서,남,0.0,0.0,1117000000.0
INVENI,2022,반기보고서,여,0.0,0.0,198000000.0
INVENI,2022,사업보고서,남,0.0,0.0,2028000000.0
INVENI,2022,사업보고서,여,0.0,0.0,363000000.0
INVENI,2023,반기보고서,남,0.0,0.0,1918000000.0
INVENI,2023,반기보고서,여,0.0,0.0,254000000.0
INVENI,2023,사업보고서,남,0.0,0.0,3045000000.0
INVENI,2023,사업보고서,여,0.0,0.0,490000000.0
JB금융지주,2022,반기보고서,남,0.0,0.0,5968000000.0
JB금융지주,2022,반기보고서,여,0.0,0.0,724000000.0
JB금융지주,2022,사업보고서,남,0.0,0.0,11517000000.0
JB금융지주,2022,사업보고서,여,0.0,0.0,1810000000.0
JB금융지주,2023,반기보고서,남,0.0,0.0,6531000000.0
JB금융지주,2023,반기보고서,여,0.0,0.0,1068000000.0
JB금융지주,2023,사업보고서,남,0.0,0.0,13187000000.0
JB금융지주,2023,사업보고서,여,0.0,0.0,2527000000.0
JW중외제약,2022,반기보고서,남,0.0,0.0,30760000000.0
JW중외제약,2022,반기보고서,여,0.0,0.0,7712000000.0
JW중외제약,2022,사업보고서,남,0.0,0.0,61574000000.0
JW중외제약,2022,사업보고서,여,0.0,0.0,15016000000.0
JW중외제약,2023,반기보고서,남,0.0,0.0,32410000000.0
JW중외제약,2023,반기보고서,여,0.0,0.0,8610000000.0
JW중외제약,2023,사업보고서,남,0.0,0.0,60362000000.0
JW중외제약,2023,사업보고서,여,0.0,0.0,16429000000.0
JW홀딩스,2022,반기보고서,남,0.0,0.0,3445000000.0
JW홀딩스,2022,반기보고서,여,0.0,0.0,1267000000.0
JW홀딩스,2022,사업보고서,남,0.0,0.0,5324000000.0
JW홀딩스,2022,사업보고서,여,0.0,0.0,2009000000.0
JW홀딩스,2023,반기보고서,남,0.0,0.0,3115000000.0
JW홀딩스,2023,반기보고서,여,0.0,0.0,1090000000.0
JW홀딩스,2023,사업보고서,남,0.0,0.0,7791000000.0
JW홀딩스,2023,사업보고서,여,0.0,0.0,2487000000.0
KBI동양철관,2022,반기보고서,남,0.0,0.0,4267000000.0
KBI동양철관,2022,반기보고서,여,0.0,0.0,356000000.0
KBI동양철관,2022,사업보고서,남,0.0,0.0,9181000000.0
KBI동양철관,2022,사업보고서,여,0.0,0.0,745000000.0
KBI동양철관,2023,반기보고서,남,0.0,0.0,4715000000.0
KBI동양철관,2023,반기보고서,여,0.0,0.0,336000000.0
KBI동양철관,2023,사업보고서,남,0.0,0.0,9211000000.0
KBI동양철관,2023,사업보고서,여,0.0,0.0,692000000.0
KB금융,2022,반기보고서,남,0.0,0.0,11040000000.0
KB금융,2022,반기보고서,여,0.0,0.0,1820000000.0
KB금융,2022,사업보고서,남,0.0,0.0,23813000000.0
KB금융,2022,사업보고서,여,0.0,0.0,4248000000.0
KB금융,2023,반기보고서,남,0.0,0.0,12003000000.0
KB금융,2023,반기보고서,여,0.0,0.0,2593000000.0
KB금융,2023,사업보고서,남,0.0,0.0,23990000000.0
KB금융,2023,사업보고서,여,0.0,0.0,5425000000.0
KC그린홀딩스,2022,반기보고서,남,0.0,0.0,620854000.0
KC그린홀딩스,2022,반기보고서,여,0.0,0.0,169824000.0
KC그린홀딩스,2022,사업보고서,남,0.0,0.0,1091938000.0
KC그린홀딩스,2022,사업보고서,여,0.0,0.0,258819000.0
KC그린홀딩스,2023,반기보고서,남,0.0,0.0,595067000.0
KC그린홀딩스,2023,반기보고서,여,0.0,0.0,176824000.0
KC그린홀딩스,2023,사업보고서,남,0.0,0.0,1130767000.0
KC그린홀딩스,2023,사업보고서,여,0.0,0.0,315319000.0
KC코트렐,2022,반기보고서,남,0.0,0.0,8165000000.0
KC코트렐,2022,반기보고서,여,0.0,0.0,721000000.0
KC코트렐,2022,사업보고서,남,0.0,0.0,15507000000.0
KC코트렐,2022,사업보고서,여,0.0,0.0,1399000000.0
KC코트렐,2023,반기보고서,남,0.0,0.0,7915000000.0
KC코트렐,2023,반기보고서,여,0.0,0.0,728000000.0
KC코트렐,2023,사업보고서,남,0.0,0.0,15585000000.0
KC코트렐,2023,사업보고서,여,0.0,0.0,1492000000.0
KEC,2022,반기보고서,남,0.0,0.0,12697275000.0
KEC,2022,반기보고서,여,0.0,0.0,3684517000.0
KEC,2022,사업보고서,남,0.0,0.0,24616397000.0
KEC,2022,사업보고서,여,0.0,0.0,7611456000.0
KEC,2023,반기보고서,남,0.0,0.0,11268951000.0
KEC,2023,반기보고서,여,0.0,0.0,3509912000.0
KEC,2023,사업보고서,남,0.0,0.0,21697529000.0
KEC,2023,사업보고서,여,0.0,0.0,6975016000.0
KG모빌리티,2022,반기보고서,남,0.0,0.0,114605000000.0
KG모빌리티,2022,반기보고서,여,0.0,0.0,1689000000.0
KG모빌리티,2022,사업보고서,남,0.0,0.0,358107000000.0
KG모빌리티,2022,사업보고서,여,0.0,0.0,4349000000.0
KG모빌리티,2023,반기보고서,남,0.0,0.0,163735000000.0
KG모빌리티,2023,반기보고서,여,0.0,0.0,2280000000.0
KG모빌리티,2023,사업보고서,남,0.0,0.0,357742000000.0
KG모빌리티,2023,사업보고서,여,0.0,0.0,5269000000.0
KG스틸,2022,반기보고서,남,0.0,0.0,48164000000.0
