corp_name,시장구분,종목코드,업종,상장일,결산월,지역,corp_name,corp_code
HJ중공업,유가,97230,토목 건설업,2007-08-31,12월,부산광역시,HJ중공업,"""00633835"""
JW홀딩스,유가,96760,기타 금융업,2007-07-31,12월,경기도,JW홀딩스,"""00632304"""
SK이노베이션,유가,96770,석유 정제품 제조업,2007-07-25,12월,서울특별시,SK이노베이션,"""00631518"""
삼성카드,유가,29780,기타 금융업,2007-06-27,12월,서울특별시,삼성카드,"""00126292"""
알루코,유가,1780,1차 비철금속 제조업,2007-06-07,12월,대전광역시,알루코,"""00117027"""
알루코,유가,1780,1차 비철금속 제조업,2007-06-07,12월,대전광역시,알루코,"""00139418"""
웅진씽크빅,유가,95720,초등 교육기관,2007-05-31,12월,경기도,웅진씽크빅,"""00628189"""
맵스리얼티,유가,94800,신탁업 및 집합투자업,2007-04-09,12월,서울특별시,맵스리얼티,"""00600013"""
메타랩스,유가,90370,봉제의복 제조업,2006-12-26,12월,서울특별시,메타랩스,"""00442835"""
후성,유가,93370,기초 화학물질 제조업,2006-12-22,12월,경기도,후성,"""01172270"""
후성,유가,93370,기초 화학물질 제조업,2006-12-22,12월,경기도,후성,"""00595191"""
LF,유가,93050,봉제의복 제조업,2006-12-01,12월,서울특별시,LF,"""00593032"""
주연테크,유가,44380,컴퓨터 및 주변장치 제조업,2006-11-15,12월,서울특별시,주연테크,"""00269241"""
코스맥스비티아이,유가,44820,기타 금융업,2006-11-13,12월,경기도,코스맥스비티아이,"""00219574"""
인천도시가스,유가,34590,연료용 가스 제조 및 배관공급업,2006-11-07,12월,인천광역시,인천도시가스,"""00145862"""
삼정펄프,유가,9770,"펄프, 종이 및 판지 제조업",2006-10-17,12월,경기도,삼정펄프,"""00128227"""
KEC,유가,92220,반도체 제조업,2006-10-16,12월,서울특별시,KEC,"""00589127"""
KPX홀딩스,유가,92230,기초 화학물질 제조업,2006-10-12,12월,서울특별시,KPX홀딩스,"""00587466"""
HDC현대EP,유가,89470,기타 화학제품 제조업,2006-09-25,12월,충청남도,HDC현대EP,"""00357935"""
노루페인트,유가,90350,기타 화학제품 제조업,2006-07-03,12월,경기도,노루페인트,"""00583442"""
아모레퍼시픽,유가,90430,기타 화학제품 제조업,2006-06-29,12월,서울특별시,아모레퍼시픽,"""00583424"""
롯데관광개발,유가,32350,여행사 및 기타 여행보조 서비스업,2006-06-08,12월,제주특별자치도,롯데관광개발,"""00231372"""
평화산업,유가,90080,자동차 신품 부품 제조업,2006-06-02,12월,대구광역시,평화산업,"""00573579"""
우진플라임,유가,49800,특수 목적용 기계 제조업,2006-05-24,12월,충청북도,우진플라임,"""00303217"""
신세계I&C,유가,35510,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2006-05-18,12월,서울특별시,신세계I&C,"""00219486"""
진도,유가,88790,기타 전문 도매업,2006-03-28,12월,서울특별시,진도,"""00557933"""
맥쿼리인프라,유가,88980,신탁업 및 집합투자업,2006-03-15,12월,서울특별시,맥쿼리인프라,"""00435297"""
롯데쇼핑,유가,23530,종합 소매업,2006-02-09,12월,서울특별시,롯데쇼핑,"""00120526"""
현대글로비스,유가,86280,기타 운송관련 서비스업,2005-12-26,12월,서울특별시,현대글로비스,"""00360595"""
티비에이치글로벌,유가,84870,봉제의복 제조업,2005-12-19,12월,서울특별시,티비에이치글로벌,"""00409672"""
하나금융지주,유가,86790,기타 금융업,2005-12-12,12월,서울특별시,하나금융지주,"""00547583"""
제일연마,유가,1560,기타 비금속 광물제품 제조업,2005-12-09,12월,경상북도,제일연마,"""00148461"""
현대리바트,유가,79430,가구 제조업,2005-11-22,12월,경기도,현대리바트,"""00164803"""
현대리바트,유가,79430,가구 제조업,2005-11-22,12월,경기도,현대리바트,"""00300548"""
대한제강,유가,84010,1차 철강 제조업,2005-10-31,12월,부산광역시,대한제강,"""00113225"""
새론오토모티브,유가,75180,자동차 신품 부품 제조업,2005-10-21,12월,충청남도,새론오토모티브,"""00305668"""
그린케미칼,유가,83420,기타 화학제품 제조업,2005-10-20,12월,충청남도,그린케미칼,"""00454946"""
그린케미칼,유가,83420,기타 화학제품 제조업,2005-10-20,12월,충청남도,그린케미칼,"""00991359"""
대상홀딩스,유가,84690,기타 금융업,2005-08-17,12월,서울특별시,대상홀딩스,"""00539274"""
코아스,유가,71950,가구 제조업,2005-08-04,12월,서울특별시,코아스,"""01744420"""
코아스,유가,71950,가구 제조업,2005-08-04,12월,서울특별시,코아스,"""00210856"""
