기업명,연도,보고서유형,매출액,영업이익
영흥,2016,반기보고서,"93,204,054,162","262,217,683"
영흥,2016,사업보고서,"185,856,007,291","515,224,692"
영흥,2017,반기보고서,"91,903,087,158","1,042,190,466"
영흥,2017,사업보고서,"177,429,263,882","1,080,937,450"
메타케어,2016,반기보고서,"6,543,574,106","-2,640,726,251"
메타케어,2016,사업보고서,"11,232,856,464","-5,748,113,720"
메타케어,2017,반기보고서,"8,874,592,690","-2,911,792,825"
메타케어,2017,사업보고서,"36,880,327,354","-4,594,507,615"
한전기술,2016,반기보고서,"246,011,467,004","39,545,672,435"
한전기술,2016,사업보고서,"506,012,235,393","12,282,439,193"
한전기술,2017,반기보고서,"220,995,562,935","5,470,389,419"
한전기술,2017,사업보고서,"490,192,813,674","32,871,957,584"
GKL,2016,반기보고서,"265,576,022,354","73,522,508,518"
GKL,2016,사업보고서,"548,230,023,132","151,182,942,675"
GKL,2017,반기보고서,"234,977,834,004","49,118,369,140"
GKL,2017,사업보고서,"501,295,523,773","108,168,510,900"
SK,2016,반기보고서,"41,803,267,000,000","3,197,771,000,000"
SK,2016,사업보고서,"83,617,494,000,000","5,298,179,000,000"
SK,2017,반기보고서,"45,030,312,000,000","2,808,977,000,000"
SK,2017,사업보고서,"93,296,368,000,000","5,861,039,000,000"
황금에스티,2016,반기보고서,"108,540,959,297","6,578,087,495"
황금에스티,2016,사업보고서,"225,310,783,192","20,187,988,924"
황금에스티,2017,반기보고서,"109,962,046,432","14,599,777,144"
황금에스티,2017,사업보고서,"224,729,736,215","27,515,954,088"
하이트진로,2016,반기보고서,"909,787,648,044","54,798,054,333"
하이트진로,2016,사업보고서,"1,890,232,768,003","124,005,913,762"
하이트진로,2017,반기보고서,"904,727,091,305","7,598,463,632"
하이트진로,2017,사업보고서,"1,889,910,216,355","87,249,748,641"
유니온머티리얼,2016,반기보고서,"52,083,390,826","3,263,976,543"
유니온머티리얼,2016,사업보고서,"107,248,040,851","8,024,382,554"
유니온머티리얼,2017,반기보고서,"53,788,771,146","2,209,465,269"
유니온머티리얼,2017,사업보고서,"109,898,285,469","1,705,902,149"
영원무역,2016,반기보고서,"982,992,905,667","107,363,716,325"
영원무역,2016,사업보고서,"2,001,607,172,387","179,446,187,146"
영원무역,2017,반기보고서,"1,005,395,821,837","107,459,661,223"
영원무역,2017,사업보고서,"2,009,311,225,047","181,147,429,907"
한미글로벌,2016,반기보고서,"79,360,053,537","5,289,989,021"
한미글로벌,2016,사업보고서,"169,053,494,345","9,434,792,139"
한미글로벌,2017,반기보고서,"92,036,576,979","5,310,565,504"
한미글로벌,2017,사업보고서,"200,835,861,986","10,821,056,984"
동아지질,2016,반기보고서,"145,546,001,270","4,178,626,692"
동아지질,2016,사업보고서,"323,174,632,162","12,530,176,455"
동아지질,2017,반기보고서,"168,483,137,544","9,568,202,066"
동아지질,2017,사업보고서,"339,724,245,243","20,333,474,703"
HD현대마린엔진,2016,반기보고서,"276,093,623,475","-69,272,918,264"
HD현대마린엔진,2016,사업보고서,"416,489,347,427","-283,218,111,413"
HD현대마린엔진,2017,반기보고서,"170,284,581,103","24,472,409,563"
HD현대마린엔진,2017,사업보고서,"252,436,193,526","30,224,610,711"
LX하우시스,2016,반기보고서,"1,441,737,000,000","88,545,000,000"
LX하우시스,2016,사업보고서,"2,928,337,000,000","156,991,000,000"
LX하우시스,2017,반기보고서,"1,573,134,000,000","79,827,000,000"
LX하우시스,2017,사업보고서,"3,256,451,000,000","132,982,000,000"
한세실업,2016,반기보고서,"689,414,856,370","40,182,484,197"
한세실업,2016,사업보고서,"1,547,654,905,356","81,611,764,578"
한세실업,2017,반기보고서,"787,465,336,175","17,042,503,594"
한세실업,2017,사업보고서,"1,711,333,451,686","56,540,825,484"
주성코퍼레이션,2016,반기보고서,"23,102,451,754","3,931,278,319"
주성코퍼레이션,2016,사업보고서,"45,974,763,461","-8,886,097,275"
주성코퍼레이션,2017,반기보고서,"44,599,490,739","-7,291,480,979"
주성코퍼레이션,2017,사업보고서,"90,655,773,089","-16,595,304,178"
미원홀딩스,2016,반기보고서,"146,741,249,329","23,627,276,400"
미원홀딩스,2016,사업보고서,"287,756,594,496","40,464,298,253"
미원홀딩스,2017,반기보고서,"57,176,829,673","8,011,423,720"
미원홀딩스,2017,사업보고서,"117,568,146,310","9,173,406,809"
NAVER,2016,반기보고서,"1,924,561,584,447","529,491,498,522"
NAVER,2016,사업보고서,"4,022,629,619,982","1,102,040,475,792"
NAVER,2017,반기보고서,"2,211,878,648,043","576,010,811,484"
NAVER,2017,사업보고서,"4,678,468,928,032","1,179,187,806,331"
부국철강,2016,반기보고서,"72,632,010,622","2,161,537,878"
부국철강,2016,사업보고서,"140,175,192,350","2,583,305,952"
부국철강,2017,반기보고서,"70,219,988,167","1,132,649,066"
부국철강,2017,사업보고서,"146,118,524,788","1,302,428,456"
한국철강,2016,반기보고서,"318,193,306,225","37,297,650,191"
한국철강,2016,사업보고서,"663,369,313,509","53,040,346,932"
한국철강,2017,반기보고서,"349,434,543,302","28,546,893,582"
한국철강,2017,사업보고서,"738,870,355,911","46,101,932,788"
일진전기,2016,반기보고서,"337,988,449,021","3,918,219,391"
일진전기,2016,사업보고서,"678,079,933,020","4,464,459,015"
일진전기,2017,반기보고서,"360,813,544,577","3,776,848,388"
일진전기,2017,사업보고서,"761,984,401,339","5,966,047,948"
풍산,2016,반기보고서,"1,323,914,515,949","99,106,641,282"
풍산,2016,사업보고서,"2,831,770,051,549","217,800,764,150"
풍산,2017,반기보고서,"1,406,456,151,540","141,454,697,541"
풍산,2017,사업보고서,"2,944,963,083,170","241,068,224,146"
LG이노텍,2016,반기보고서,"2,315,489,501,145","-33,562,064,935"
LG이노텍,2016,사업보고서,"5,754,565,528,569","104,825,998,022"
LG이노텍,2017,반기보고서,"2,984,326,008,291","99,355,869,484"
LG이노텍,2017,사업보고서,"7,641,360,524,432","296,491,317,621"
명문제약,2016,반기보고서,"69,057,480,060","6,205,059,275"
명문제약,2016,사업보고서,"142,179,739,045","10,057,747,092"
명문제약,2017,반기보고서,"68,852,089,285","4,509,769,575"
명문제약,2017,사업보고서,"140,137,942,908","7,473,257,510"
비상교육,2016,반기보고서,"59,163,310,861","5,791,037,715"
비상교육,2016,사업보고서,"143,872,245,856","35,459,498,571"
비상교육,2017,반기보고서,"56,272,025,575","4,990,303,842"
비상교육,2017,사업보고서,"145,635,804,061","25,757,795,952"
동성케미컬,2016,반기보고서,"444,042,157,847","44,677,583,144"
동성케미컬,2016,사업보고서,,"65,039,523,531"
동성케미컬,2017,반기보고서,"430,530,136,925,000,000","8,038,294,133,000,000"
동성케미컬,2017,사업보고서,"827,336,387,325","3,654,509,868"
쌍방울,2016,반기보고서,"64,110,780,100","-4,034,216,195"
쌍방울,2016,사업보고서,"113,768,432,083","-15,089,039,857"
쌍방울,2017,반기보고서,"61,258,609,427","-1,400,877,813"
쌍방울,2017,사업보고서,"109,639,024,254","-21,607,655,321"
LG유플러스,2016,반기보고서,"5,591,911,000,000","350,735,000,000"
LG유플러스,2016,사업보고서,"11,451,046,000,000","746,483,000,000"
LG유플러스,2017,반기보고서,"5,891,641,000,000","410,829,000,000"
LG유플러스,2017,사업보고서,"12,279,382,000,000","826,295,000,000"
인바이오젠,2016,반기보고서,"7,700,939,855","-677,185,748"
인바이오젠,2016,사업보고서,"11,545,262,877","-2,131,834,779"
인바이오젠,2017,반기보고서,"4,289,308,796","-861,513,568"
인바이오젠,2017,사업보고서,"7,076,785,724","-1,531,487,799"
아시아나항공,2016,반기보고서,"2,743,212,513,273","64,610,630,497"
아시아나항공,2016,사업보고서,"5,763,550,962,631","256,484,332,581"
아시아나항공,2017,반기보고서,"2,948,990,636,307","69,128,454,001"
아시아나항공,2017,사업보고서,"6,227,064,627,683","275,861,005,586"
SNT에너지,2016,반기보고서,"132,187,772,837","13,772,779,684"
SNT에너지,2016,사업보고서,"254,089,906,364","1,195,144,357"
SNT에너지,2017,반기보고서,"106,576,307,139","10,009,189,965"
SNT에너지,2017,사업보고서,"184,091,944,565","19,201,910,760"
진양홀딩스,2016,반기보고서,"123,332,902,004","12,459,806,553"
진양홀딩스,2016,사업보고서,"259,705,110,545","22,405,268,699"
진양홀딩스,2017,반기보고서,"134,806,490,256","10,618,834,231"
진양홀딩스,2017,사업보고서,"265,225,266,244","15,689,467,876"
엔케이,2016,반기보고서,"84,459,691,076","-11,449,058,894"
엔케이,2016,사업보고서,"164,591,201,429","-29,238,994,047"
엔케이,2017,반기보고서,"61,965,001,218","-4,199,284,579"
엔케이,2017,사업보고서,"121,800,023,281","-9,653,321,071"
한전KPS,2016,반기보고서,"575,623,408,944","74,835,672,323"
한전KPS,2016,사업보고서,"1,223,106,398,233","105,761,625,707"
한전KPS,2017,반기보고서,"614,397,241,740","95,316,112,495"
한전KPS,2017,사업보고서,"1,236,779,010,362","164,053,250,318"
KSS해운,2016,반기보고서,"69,848,308,400","14,988,621,130"
KSS해운,2016,사업보고서,"141,144,030,975","32,622,475,881"
KSS해운,2017,반기보고서,"80,720,119,541","19,330,498,242"
KSS해운,2017,사업보고서,"177,565,951,749","45,074,599,663"
효성 ITX,2016,반기보고서,"156,880,319,497","6,051,966,318"
효성 ITX,2016,사업보고서,"340,357,540,412","11,290,291,447"
효성 ITX,2017,반기보고서,"179,015,337,767","6,449,280,229"
효성 ITX,2017,사업보고서,"395,024,483,749","12,214,703,138"
유나이티드,2016,반기보고서,"85,991,726,436","13,172,028,356"
유나이티드,2016,사업보고서,"176,905,089,974","27,118,217,099"
유나이티드,2017,반기보고서,"96,806,815,364","13,694,244,315"
유나이티드,2017,사업보고서,"197,023,264,153","31,717,077,760"
디아이씨,2016,반기보고서,"263,672,855,561","17,276,751,164"
디아이씨,2016,사업보고서,"557,499,790,562","34,833,530,059"
디아이씨,2017,반기보고서,"319,933,945,938","20,971,049,115"
디아이씨,2017,사업보고서,"632,994,705,143","32,174,332,505"
CJ제일제당,2016,반기보고서,"7,143,627,676,000","443,432,930,000"
CJ제일제당,2016,사업보고서,"14,563,257,246,000","843,638,184,000"
CJ제일제당,2017,반기보고서,"7,775,428,896,000","356,880,278,000"
CJ제일제당,2017,사업보고서,"16,477,174,023,000","776,575,241,000"
팬오션,2016,반기보고서,"895,525,000,000","80,958,000,000"
팬오션,2016,사업보고서,"1,873,986,000,000","167,901,000,000"
팬오션,2017,반기보고서,"1,155,419,000,000","89,721,000,000"
팬오션,2017,사업보고서,"2,336,240,000,000","195,023,000,000"
HJ중공업,2016,반기보고서,"1,516,935,000,000","89,772,000,000"
HJ중공업,2016,사업보고서,"2,813,271,000,000","-79,319,000,000"
HJ중공업,2017,반기보고서,"1,136,117,000,000","-50,380,000,000"
HJ중공업,2017,사업보고서,"2,452,314,000,000","-116,693,000,000"
JW홀딩스,2016,반기보고서,"349,340,135,215","22,198,524,934"
