회사명,시장구분,종목코드,업종,상장일,결산월,지역
파인디지털,코스닥,38950,통신 및 방송 장비 제조업,2000-05-04,12월,경기도
나이스정보통신,코스닥,36800,전기 통신업,2000-05-03,12월,서울특별시
SG&G,코스닥,40610,자동차 신품 부품 제조업,2000-04-27,12월,경기도
아이에이,코스닥,38880,전자부품 제조업,2000-04-27,12월,경기도
에스넷,코스닥,38680,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2000-04-27,12월,서울특별시
에스엠,코스닥,41510,오디오물 출판 및 원판 녹음업,2000-04-27,12월,서울특별시
아이티센엔텍,코스닥,10280,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2000-04-14,12월,경기도
쎄니트,코스닥,37760,1차 철강 제조업,2000-04-07,12월,경상남도
대성미생물,코스닥,36480,의약품 제조업,2000-04-04,12월,경기도
에코플라스틱,코스닥,38110,자동차 신품 부품 제조업,2000-03-23,12월,경상북도
케이엠더블유,코스닥,32500,통신 및 방송 장비 제조업,2000-03-21,12월,경기도
화성밸브,코스닥,39610,일반 목적용 기계 제조업,2000-03-16,12월,대구광역시
경남스틸,코스닥,39240,1차 철강 제조업,2000-03-07,12월,경상남도
마크로젠,코스닥,38290,"그외 기타 전문, 과학 및 기술 서비스업",2000-02-22,12월,서울특별시
희림,코스닥,37440,"건축기술, 엔지니어링 및 관련 기술 서비스업",2000-02-03,12월,서울특별시
레드캡투어,코스닥,38390,여행사 및 기타 여행보조 서비스업,2000-02-01,12월,서울특별시
솔브레인홀딩스,코스닥,36830,회사 본부 및 경영 컨설팅 서비스업,2000-01-18,12월,경기도
에프에스티,코스닥,36810,전자부품 제조업,2000-01-18,12월,경기도
코맥스,코스닥,36690,통신 및 방송 장비 제조업,2000-01-18,12월,경기도
EG,코스닥,37370,기초 화학물질 제조업,2000-01-11,12월,전라남도
감성코퍼레이션,코스닥,36620,기타 전문 도매업,2000-01-11,12월,서울특별시
성도이엔지,코스닥,37350,"건축기술, 엔지니어링 및 관련 기술 서비스업",2000-01-11,12월,서울특별시
제일테크노스,코스닥,38010,"구조용 금속제품, 탱크 및 증기발생기 제조업",2000-01-11,12월,경상북도
한세예스24홀딩스,유가,16450,봉제의복 제조업,2000-01-06,12월,서울특별시
무림SP,코스닥,1810,"펄프, 종이 및 판지 제조업",2000-01-04,12월,서울특별시
세종텔레콤,코스닥,36630,전기 및 통신 공사업,2000-01-04,12월,경기도
심텍홀딩스,코스닥,36710,회사 본부 및 경영 컨설팅 서비스업,2000-01-04,12월,충청북도
파세코,코스닥,37070,가정용 기기 제조업,2000-01-04,12월,경기도
KZ정밀,코스닥,36560,일반 목적용 기계 제조업,1999-12-28,12월,서울특별시
SGC E&C,코스닥,16250,건물 건설업,1999-12-28,12월,서울특별시
서희건설,코스닥,35890,건물 건설업,1999-12-24,12월,경기도
주성엔지니어링,코스닥,36930,특수 목적용 기계 제조업,1999-12-24,12월,경기도
케이티알파,코스닥,36030,상품 중개업,1999-12-24,12월,서울특별시
대성홀딩스,유가,16710,회사 본부 및 경영 컨설팅 서비스업,1999-12-22,12월,대구광역시
다우데이타,코스닥,32190,기계장비 및 관련 물품 도매업,1999-12-21,12월,서울특별시
동진쎄미켐,코스닥,5290,기초 화학물질 제조업,1999-12-21,12월,인천광역시
선광,코스닥,3100,기타 운송관련 서비스업,1999-12-21,12월,인천광역시
에이치엠넥스,코스닥,36170,반도체 제조업,1999-12-21,12월,경기도
제이에스티나,코스닥,26040,귀금속 및 장신용품 제조업,1999-12-21,12월,서울특별시
지더블유바이텍,코스닥,36180,기계장비 및 관련 물품 도매업,1999-12-21,12월,서울특별시
한국팩키지,코스닥,37230,"골판지, 종이 상자 및 종이용기 제조업",1999-12-21,12월,경상남도
삼지전자,코스닥,37460,통신 및 방송 장비 제조업,1999-12-16,12월,경기도
우리엔터프라이즈,코스닥,37400,상품 종합 도매업,1999-12-16,12월,경기도
대원제약,유가,3220,의약품 제조업,1999-12-15,12월,서울특별시
한국가스공사,유가,36460,연료용 가스 제조 및 배관공급업,1999-12-15,12월,대구광역시
네패스,코스닥,33640,반도체 제조업,1999-12-14,12월,충청북도
인지디스플레,코스닥,37330,전자부품 제조업,1999-12-14,12월,경기도
위지트,코스닥,36090,특수 목적용 기계 제조업,1999-12-10,12월,인천광역시
유니셈,코스닥,36200,특수 목적용 기계 제조업,1999-12-10,12월,경기도
유성티엔에스,코스닥,24800,육상 여객 운송업,1999-12-10,12월,서울특별시
코리아나,코스닥,27050,기타 화학제품 제조업,1999-12-10,12월,충청남도
골드앤에스,코스닥,35290,"서적, 잡지 및 기타 인쇄물 출판업",1999-12-07,12월,서울특별시
서울평가정보,코스닥,36120,기타 정보 서비스업,1999-12-07,12월,서울특별시
서울전자통신,코스닥,27040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",1999-12-03,12월,인천광역시
대성창투,코스닥,27830,신탁업 및 집합투자업,1999-11-30,12월,서울특별시
예림당,코스닥,36000,"서적, 잡지 및 기타 인쇄물 출판업",1999-11-30,12월,서울특별시
미래아이앤지,유가,7120,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",1999-11-26,12월,서울특별시
CJ ENM,코스닥,35760,텔레비전 방송업,1999-11-23,12월,서울특별시
이지홀딩스,코스닥,35810,동물용 사료 및 조제식품 제조업,1999-11-23,12월,서울특별시
기산텔레콤,코스닥,35460,통신 및 방송 장비 제조업,1999-11-18,12월,서울특별시
화천기공,유가,850,특수 목적용 기계 제조업,1999-11-18,12월,광주광역시
팜스코,유가,36580,"곡물가공품, 전분 및 전분제품 제조업",1999-10-25,12월,경기도
케이티앤지,유가,33780,담배 제조업,1999-10-08,12월,대전광역시
HD한국조선해양,유가,9540,기타 금융업,1999-08-24,12월,경기도
디씨엠,유가,24090,1차 철강 제조업,1999-08-18,12월,경상남도
바른손이앤에이,코스닥,35620,"영화, 비디오물, 방송프로그램 제작 및 배급업",1999-08-13,12월,서울특별시
솔본,코스닥,35610,회사 본부 및 경영 컨설팅 서비스업,1999-08-13,12월,서울특별시
시공테크,코스닥,20710,전문디자인업,1999-08-13,12월,경기도
신일제약,코스닥,12790,의약품 제조업,1999-08-13,12월,충청북도
조아제약,코스닥,34940,의약품 제조업,1999-08-13,12월,서울특별시
AK홀딩스,유가,6840,기타 금융업,1999-08-11,12월,서울특별시
HS애드,유가,35000,광고업,1999-08-11,12월,서울특별시
대한유화,유가,6650,기초 화학물질 제조업,1999-08-11,12월,서울특별시
백산,유가,35150,플라스틱제품 제조업,1999-08-11,12월,경기도
체시스,유가,33250,자동차 신품 부품 제조업,1999-08-11,12월,경상북도
인성정보,코스닥,33230,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",1999-07-30,12월,서울특별시
그래디언트,코스닥,35080,무점포 소매업,1999-07-05,12월,서울특별시
동국산업,코스닥,5160,1차 철강 제조업,1999-06-25,12월,서울특별시
매일홀딩스,코스닥,5990,동·식물성 유지 및 낙농제품 제조업,1999-05-14,12월,서울특별시
해성산업,코스닥,34810,기타 금융업,1999-04-16,12월,서울특별시
자화전자,유가,33240,전자부품 제조업,1999-01-06,12월,충청북도
케이티,유가,30200,전기 통신업,1998-12-23,12월,경기도
엑시큐어하이트론,유가,19490,영상 및 음향기기 제조업,1998-11-04,12월,경기도
제일기획,유가,30000,광고업,1998-03-03,12월,서울특별시
한국정보통신,코스닥,25770,전기 통신업,1998-01-20,12월,서울특별시
파라텍,코스닥,33540,특수 목적용 기계 제조업,1997-12-26,12월,충청남도
동성화인텍,코스닥,33500,기초 화학물질 제조업,1997-12-19,12월,부산광역시
스틱인베스트먼트,유가,26890,신탁업 및 집합투자업,1997-11-25,12월,서울특별시
케이씨,유가,29460,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",1997-11-25,12월,경기도
드래곤플라이,코스닥,30350,소프트웨어 개발 및 공급업,1997-11-10,12월,서울특별시
엠케이전자,코스닥,33160,전자부품 제조업,1997-11-10,12월,경기도
엠투엔,코스닥,33310,전자부품 제조업,1997-11-10,12월,서울특별시
제이씨현시스템,코스닥,33320,기계장비 및 관련 물품 도매업,1997-11-10,12월,서울특별시
포스코엠텍,코스닥,9520,1차 철강 제조업,1997-11-10,12월,경상북도
스페코,코스닥,13810,특수 목적용 기계 제조업,1997-11-03,12월,서울특별시
좋은사람들,코스닥,33340,봉제의복 제조업,1997-11-03,12월,서울특별시
대원화성,유가,24890,플라스틱제품 제조업,1997-10-28,12월,서울특별시
모아텍,코스닥,33200,전자부품 제조업,1997-10-13,03월,인천광역시
코웰패션,코스닥,33290,"섬유, 의복, 신발 및 가죽제품 소매업",1997-10-13,12월,전북특별자치도
코콤,코스닥,15710,통신 및 방송 장비 제조업,1997-09-30,12월,서울특별시
E1,유가,17940,기타 전문 도매업,1997-08-27,12월,서울특별시
SK가스,유가,18670,기타 전문 도매업,1997-08-27,12월,경기도
다우기술,유가,23590,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",1997-08-27,12월,경기도
영보화학,유가,14440,플라스틱제품 제조업,1997-08-27,12월,충청북도
제룡전기,코스닥,33100,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",1997-08-18,12월,서울특별시
제이엠아이,코스닥,33050,기타 화학제품 제조업,1997-08-18,12월,경기도
디지틀조선,코스닥,33130,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",1997-08-06,12월,서울특별시
바이온,코스닥,32980,음·식료품 및 담배 도매업,1997-08-06,12월,경기도
와이지-원,코스닥,19210,기타 금속 가공제품 제조업,1997-08-06,12월,인천광역시
특수건설,코스닥,26150,토목 건설업,1997-08-06,12월,서울특별시
아이즈비전,코스닥,31310,전기 통신업,1997-07-25,12월,서울특별시
SKC,유가,11790,기타 화학제품 제조업,1997-07-18,12월,경기도
동일기연,코스닥,32960,전자부품 제조업,1997-07-18,12월,경기도
소프트센,코스닥,32680,기타 정보 서비스업,1997-07-18,12월,서울특별시
원익,코스닥,32940,기계장비 및 관련 물품 도매업,1997-07-18,12월,경기도
원풍물산,코스닥,8290,봉제의복 제조업,1997-07-18,12월,인천광역시
웰바이오텍,유가,10600,상품 중개업,1997-07-18,12월,서울특별시
한국주강,유가,25890,특수 목적용 기계 제조업,1997-07-18,12월,경상남도
삼진,코스닥,32750,통신 및 방송 장비 제조업,1997-07-14,12월,경기도
더라미,코스닥,32860,"해체, 선별 및 원료 재생업",1997-07-04,12월,경기도
비트컴퓨터,코스닥,32850,소프트웨어 개발 및 공급업,1997-07-04,12월,서울특별시
엠젠솔루션,코스닥,32790,기계장비 및 관련 물품 도매업,1997-06-26,12월,서울특별시
판타지오,코스닥,32800,창작 및 예술관련 서비스업,1997-06-26,06월,서울특별시
디와이덕양,유가,24900,자동차 신품 부품 제조업,1997-06-23,12월,울산광역시
에쓰씨엔지니어링,유가,23960,토목 건설업,1997-06-23,12월,서울특별시
인지컨트롤스,유가,23800,자동차 신품 부품 제조업,1997-06-23,12월,경기도
유비케어,코스닥,32620,소프트웨어 개발 및 공급업,1997-05-02,12월,서울특별시
피델릭스,코스닥,32580,반도체 제조업,1997-04-22,12월,경기도
TJ미디어,코스닥,32540,영상 및 음향기기 제조업,1997-04-16,12월,서울특별시
휴맥스홀딩스,코스닥,28080,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",1997-04-16,12월,경기도
삼일,코스닥,32280,도로 화물 운송업,1997-03-15,12월,경상북도
경동인베스트,유가,12320,기타 금융업,1997-03-07,12월,경기도
뉴인텍,코스닥,12340,자동차 신품 부품 제조업,1997-02-12,12월,충청남도
아이티센씨티에스,유가,31820,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",1997-02-12,12월,경기도
에스제이엠홀딩스,유가,25530,자동차 부품 및 내장품 판매업,1997-02-12,12월,경기도
오스템,코스닥,31510,자동차 신품 부품 제조업,1997-02-12,12월,충청남도
디에이치엑스컴퍼니,코스닥,31860,상품 종합 도매업,1997-01-07,12월,서울특별시
피에스케이홀딩스,코스닥,31980,특수 목적용 기계 제조업,1997-01-07,12월,경기도
SK하이닉스,유가,660,반도체 제조업,1996-12-26,12월,경기도
INVENI,유가,15360,회사 본부 및 경영 컨설팅 서비스업,1996-12-24,12월,서울특별시
MH에탄올,유가,23150,알코올음료 제조업,1996-12-24,12월,경상남도
동남합성,유가,23450,기초 화학물질 제조업,1996-12-24,12월,충청남도
삼성E&A,유가,28050,"건축기술, 엔지니어링 및 관련 기술 서비스업",1996-12-24,12월,서울특별시
신도리코,유가,29530,컴퓨터 및 주변장치 제조업,1996-12-24,12월,서울특별시
온타이드,유가,5320,생활용품 도매업,1996-12-24,12월,서울특별시
퍼시스,유가,16800,가구 제조업,1996-12-24,12월,서울특별시
세보엠이씨,코스닥,11560,건물설비 설치 공사업,1996-12-23,12월,서울특별시
한일단조,코스닥,24740,자동차 신품 부품 제조업,1996-11-29,12월,충청북도
WISCOM,유가,24070,플라스틱제품 제조업,1996-11-22,12월,경기도
동원수산,유가,30720,어로 어업,1996-11-22,12월,서울특별시
미래산업,유가,25560,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",1996-11-22,12월,충청남도
다올투자증권,유가,30210,금융 지원 서비스업,1996-11-19,12월,서울특별시
양지사,코스닥,30960,인쇄 및 인쇄관련 산업,1996-10-24,06월,경기도
HDC,유가,12630,기타 금융업,1996-10-16,12월,서울특별시
광전자,유가,17900,반도체 제조업,1996-10-16,12월,전북특별자치도
한국단자공업,유가,25540,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",1996-10-16,12월,인천광역시
원익홀딩스,코스닥,30530,기초 화학물질 제조업,1996-09-24,12월,경기도
한글과컴퓨터,코스닥,30520,소프트웨어 개발 및 공급업,1996-09-24,12월,경기도
메이슨캐피탈,코스닥,21880,기타 금융업,1996-09-02,03월,전북특별자치도
광무,코스닥,29480,통신 및 방송 장비 제조업,1996-08-27,12월,서울특별시
대호특수강,코스닥,21040,1차 철강 제조업,1996-08-27,12월,충청북도
디아이,유가,3160,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",1996-07-31,12월,서울특별시
신성이엔지,유가,11930,반도체 제조업,1996-07-31,12월,경기도
티에이치엔,유가,19180,기타 전기장비 제조업,1996-07-31,12월,대구광역시
한온시스템,유가,18880,일반 목적용 기계 제조업,1996-07-31,12월,대전광역시
HLB,코스닥,28300,의료용품 및 기타 의약 관련제품 제조업,1996-07-27,12월,세종특별자치시
팜스토리,코스닥,27710,동물용 사료 및 조제식품 제조업,1996-07-06,12월,서울특별시
블루산업개발,유가,6740,"골판지, 종이 상자 및 종이용기 제조업",1996-07-03,12월,경기도
세원정공,유가,21820,자동차 신품 부품 제조업,1996-07-03,06월,대구광역시
유니온,유가,910,"시멘트, 석회, 플라스터 및 그 제품 제조업",1996-07-03,12월,서울특별시
키다리스튜디오,유가,20120,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",1996-07-03,12월,서울특별시
한국제지,유가,27970,"펄프, 종이 및 판지 제조업",1996-07-03,12월,울산광역시
한섬,유가,20000,봉제의복 제조업,1996-07-03,12월,서울특별시
현대엘리베이터,유가,17800,일반 목적용 기계 제조업,1996-07-03,12월,충청북도
환인제약,유가,16580,의약품 제조업,1996-07-03,12월,서울특별시
삼보판지,코스닥,23600,"펄프, 종이 및 판지 제조업",1996-05-29,12월,경기도
삼목에스폼,코스닥,18310,"구조용 금속제품, 탱크 및 증기발생기 제조업",1996-05-03,12월,경기도
에이스침대,코스닥,3800,가구 제조업,1996-05-03,12월,경기도
원익큐브,코스닥,14190,기타 전문 도매업,1996-04-26,12월,경기도
계룡건설산업,유가,13580,토목 건설업,1996-01-30,12월,대전광역시
서원,유가,21050,금속 주조업,1996-01-30,12월,경기도
에스원,유가,12750,"경비, 경호 및 탐정업",1996-01-30,12월,서울특별시
태경산업,유가,15890,기초 화학물질 제조업,1996-01-30,12월,서울특별시
리드코프,코스닥,12700,기타 전문 도매업,1996-01-19,12월,서울특별시
유니슨,코스닥,18000,일반 목적용 기계 제조업,1996-01-10,12월,경상남도
아난티,코스닥,25980,일반 및 생활 숙박시설 운영업,1996-01-06,12월,충청북도
광진실업,코스닥,26910,1차 철강 제조업,1996-01-03,12월,부산광역시
인터엠,코스닥,17250,영상 및 음향기기 제조업,1996-01-03,09월,경기도
신대양제지,유가,16590,"골판지, 종이 상자 및 종이용기 제조업",1995-12-21,12월,경기도
와이투솔루션,유가,11690,반도체 제조업,1995-12-21,12월,경기도
남해화학,유가,25860,"비료, 농약 및 살균, 살충제 제조업",1995-11-10,12월,서울특별시
동원금속,유가,18500,자동차 신품 부품 제조업,1995-11-10,03월,경상북도
성안머티리얼스,유가,11300,직물직조 및 직물제품 제조업,1995-11-10,12월,대구광역시
성우하이텍,코스닥,15750,자동차 신품 부품 제조업,1995-11-04,12월,부산광역시
대신정보통신,코스닥,20180,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",1995-10-06,03월,광주광역시
서부T&D,코스닥,6730,일반 및 생활 숙박시설 운영업,1995-10-06,12월,서울특별시
HMM,유가,11200,해상 운송업,1995-10-05,12월,서울특별시
경인양행,유가,12610,기초 화학물질 제조업,1995-10-05,12월,인천광역시
풀무원,유가,17810,기타 식품 제조업,1995-10-05,12월,충청북도
서울도시가스,유가,17390,연료용 가스 제조 및 배관공급업,1995-08-18,12월,서울특별시
이구산업,유가,25820,1차 비철금속 제조업,1995-08-18,12월,경기도
동신건설,코스닥,25950,토목 건설업,1995-08-07,12월,경상북도
동화기업,코스닥,25900,나무제품 제조업,1995-08-07,12월,인천광역시
에넥스,유가,11090,가구 제조업,1995-07-08,12월,서울특별시
에이프로젠,유가,7460,기타 금속 가공제품 제조업,1995-07-08,12월,경기도
제이준코스메틱,유가,25620,기타 화학제품 제조업,1995-07-08,12월,서울특별시
한국카본,유가,17960,"구조용 금속제품, 탱크 및 증기발생기 제조업",1995-07-08,12월,경상남도
신라에스지,코스닥,25870,음·식료품 및 담배 도매업,1995-07-07,12월,서울특별시
케이씨피드,코스닥,25880,동물용 사료 및 조제식품 제조업,1995-07-07,12월,경상북도
한탑,코스닥,2680,"곡물가공품, 전분 및 전분제품 제조업",1995-07-07,12월,부산광역시
한국선재,코스닥,25550,1차 철강 제조업,1995-06-19,12월,부산광역시
DH오토웨어,코스닥,25440,영상 및 음향기기 제조업,1995-05-22,12월,광주광역시
시노펙스,코스닥,25320,전자부품 제조업,1995-04-20,12월,경상북도
PN풍년,코스닥,24940,생활용품 도매업,1995-01-04,12월,경기도
삼천리자전거,코스닥,24950,생활용품 도매업,1995-01-04,12월,서울특별시
메디앙스,코스닥,14100,상품 종합 도매업,1995-01-03,12월,서울특별시
KBI메탈,코스닥,24840,1차 비철금속 제조업,1994-12-29,12월,대구광역시
경창산업,코스닥,24910,자동차 신품 부품 제조업,1994-12-29,12월,대구광역시
대륙제관,코스닥,4780,기타 금속 가공제품 제조업,1994-12-29,12월,서울특별시
동원개발,코스닥,13120,건물 건설업,1994-12-29,12월,부산광역시
세원물산,코스닥,24830,자동차 신품 부품 제조업,1994-12-29,12월,경상북도
케이피에프,코스닥,24880,기타 금속 가공제품 제조업,1994-12-29,12월,경기도
KPX케미칼,유가,25000,기초 화학물질 제조업,1994-12-27,12월,서울특별시
TP,유가,7980,봉제의복 제조업,1994-12-27,12월,서울특별시
에스엠벡셀,유가,10580,자동차 신품 부품 제조업,1994-12-27,12월,충청남도
KB오토시스,코스닥,24120,자동차 신품 부품 제조업,1994-12-07,12월,충청남도
신원종합개발,코스닥,17000,건물 건설업,1994-12-07,12월,경기도
흥구석유,코스닥,24060,기타 전문 도매업,1994-12-07,12월,대구광역시
대한약품,코스닥,23910,의약품 제조업,1994-11-23,12월,서울특별시
이화공영,코스닥,1840,건물 건설업,1994-11-23,12월,서울특별시
풍국주정,코스닥,23900,알코올음료 제조업,1994-11-23,12월,대구광역시
대림제지,코스닥,17650,기타 종이 및 판지 제품 제조업,1994-11-07,12월,경기도
대한광통신,코스닥,10170,절연선 및 케이블 제조업,1994-11-07,12월,경기도
동일스틸럭스,코스닥,23790,1차 철강 제조업,1994-11-07,12월,부산광역시
플레이위드,코스닥,23770,소프트웨어 개발 및 공급업,1994-11-07,12월,서울특별시
한국캐피탈,코스닥,23760,기타 금융업,1994-11-07,12월,대전광역시
한일사료,코스닥,5860,동물용 사료 및 조제식품 제조업,1994-11-07,12월,경기도
KC그린홀딩스,유가,9440,기타 금융업,1994-11-05,12월,서울특별시
문배철강,유가,8420,1차 철강 제조업,1994-11-05,12월,서울특별시
웅진,유가,16880,회사 본부 및 경영 컨설팅 서비스업,1994-11-05,12월,서울특별시
모베이스전자,코스닥,12860,자동차 신품 부품 제조업,1994-10-26,12월,경기도
국영지앤엠,코스닥,6050,유리 및 유리제품 제조업,1994-10-07,12월,서울특별시
유진기업,코스닥,23410,"시멘트, 석회, 플라스터 및 그 제품 제조업",1994-10-07,12월,경기도
제이스코홀딩스,코스닥,23440,1차 철강 제조업,1994-10-07,12월,경기도
보성파워텍,코스닥,6910,"구조용 금속제품, 탱크 및 증기발생기 제조업",1994-09-07,12월,충청북도
브이티,코스닥,18290,기타 화학제품 제조업,1994-09-07,12월,경기도
태광,코스닥,23160,1차 철강 제조업,1994-09-07,12월,부산광역시
HL D&I,유가,14790,토목 건설업,1994-08-12,12월,서울특별시
오뚜기,유가,7310,기타 식품 제조업,1994-08-12,12월,경기도
일정실업,유가,8500,편조원단 제조업,1994-08-12,12월,경기도
와이엠,코스닥,7530,기타 금속 가공제품 제조업,1994-08-05,12월,경기도
엘에스일렉트릭,유가,10120,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",1994-07-11,12월,경기도
신라섬유,코스닥,1000,부동산 임대 및 공급업,1994-06-28,12월,대구광역시
원일특강,코스닥,12620,1차 철강 제조업,1994-06-28,12월,경기도
서한,코스닥,11370,건물 건설업,1994-05-24,12월,대구광역시
대양금속,유가,9190,1차 철강 제조업,1994-04-29,12월,충청남도
이화산업,유가,760,기타 전문 도매업,1994-04-29,12월,서울특별시
동원시스템즈,유가,14820,플라스틱제품 제조업,1994-03-29,12월,충청남도
바른손,코스닥,18700,생활용품 도매업,1994-03-18,12월,경기도
부방,코스닥,14470,부동산 임대 및 공급업,1994-02-25,12월,서울특별시
삼성중공업,유가,10140,선박 및 보트 건조업,1994-01-28,12월,경기도
모토닉,유가,9680,자동차 신품 부품 제조업,1994-01-14,12월,서울특별시
화신,유가,10690,자동차 신품 부품 제조업,1994-01-14,12월,경상북도
소노스퀘어,코스닥,7720,상품 종합 도매업,1994-01-06,12월,강원특별자치도
THE CUBE&,코스닥,13720,자동차 신품 부품 제조업,1993-12-29,12월,인천광역시
유니크,코스닥,11320,자동차 신품 부품 제조업,1993-12-29,12월,경상남도
진로발효,코스닥,18120,알코올음료 제조업,1993-12-29,12월,경기도
삼보산업,코스닥,9620,1차 비철금속 제조업,1993-12-07,12월,경상남도
푸드웰,코스닥,5670,"과실, 채소 가공 및 저장 처리업",1993-12-07,12월,대구광역시
푸른저축은행,코스닥,7330,은행 및 저축기관,1993-12-07,12월,서울특별시
피제이전자,코스닥,6140,의료용 기기 제조업,1993-12-07,12월,경기도
베뉴지,코스닥,19010,종합 소매업,1993-11-05,12월,서울특별시
엠에스씨,코스닥,9780,기타 식품 제조업,1993-10-12,12월,경상남도
삼화페인트공업,유가,390,기타 화학제품 제조업,1993-09-10,12월,경기도
경동나비엔,유가,9450,가정용 기기 제조업,1993-08-31,12월,경기도
대동금속,코스닥,20400,금속 주조업,1993-07-30,12월,대구광역시
광림,코스닥,14200,자동차용 엔진 및 자동차 제조업,1993-07-07,12월,충청북도
대원산업,코스닥,5710,자동차 신품 부품 제조업,1993-06-21,12월,경기도
큐캐피탈,코스닥,16600,기타 금융업,1993-06-21,12월,서울특별시
한국가구,코스닥,4590,기타 상품 전문 소매업,1993-06-03,12월,서울특별시
디모아,코스닥,16670,기타 전문 도매업,1993-04-21,12월,서울특별시
중앙에너비스,코스닥,440,기타 전문 도매업,1993-03-24,12월,서울특별시
DB,유가,12030,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",1993-01-06,12월,서울특별시
SGC에너지,유가,5090,전기업,1993-01-06,12월,서울특별시
삼륭물산,코스닥,14970,"골판지, 종이 상자 및 종이용기 제조업",1992-12-29,12월,경기도
대림바스,유가,5750,"내화, 비내화 요업제품 제조업",1992-12-23,12월,경상남도
경동제약,코스닥,11040,의약품 제조업,1992-12-18,12월,경기도
원풍,코스닥,8370,플라스틱제품 제조업,1992-12-18,12월,서울특별시
네이처셀,코스닥,7390,기초 의약물질 제조업,1992-11-30,12월,서울특별시
삼일기업공사,코스닥,2290,건물 건설업,1992-11-30,12월,서울특별시
일지테크,코스닥,19540,자동차 신품 부품 제조업,1992-11-03,12월,경상북도
한일화학,코스닥,7770,기초 화학물질 제조업,1992-09-07,12월,충청남도
한국알콜,코스닥,17890,기타 화학제품 제조업,1992-08-04,12월,경기도
대주산업,코스닥,3310,동물용 사료 및 조제식품 제조업,1992-08-01,12월,서울특별시
글로본,코스닥,19660,상품 종합 도매업,1992-06-04,12월,서울특별시
대한해운,유가,5880,해상 운송업,1992-04-23,12월,서울특별시
세명전기,코스닥,17510,기타 금속 가공제품 제조업,1991-12-26,12월,부산광역시
휴니드테크놀러지스,유가,5870,통신 및 방송 장비 제조업,1991-09-03,12월,인천광역시
수산세보틱스,유가,17550,특수 목적용 기계 제조업,1991-08-30,12월,경기도
에이티넘인베스트,코스닥,21080,신탁업 및 집합투자업,1991-07-12,12월,서울특별시
롯데케미칼,유가,11170,기초 화학물질 제조업,1991-05-30,12월,서울특별시
대동기어,코스닥,8830,특수 목적용 기계 제조업,1991-05-17,12월,경상남도
세아베스틸지주,유가,1430,1차 철강 제조업,1991-03-12,12월,서울특별시
호텔신라,유가,8770,기타 상품 전문 소매업,1991-03-12,12월,서울특별시
태경비케이,유가,14580,"시멘트, 석회, 플라스터 및 그 제품 제조업",1991-03-07,12월,서울특별시
화승코퍼레이션,유가,13520,자동차 신품 부품 제조업,1991-02-22,12월,부산광역시
신흥,유가,4080,기계장비 및 관련 물품 도매업,1991-02-08,12월,서울특별시
화승인더스트리,유가,6060,상품 종합 도매업,1991-02-04,12월,부산광역시
극동유화,유가,14530,석유 정제품 제조업,1991-01-31,12월,경상남도
고려산업,유가,2140,"곡물가공품, 전분 및 전분제품 제조업",1991-01-14,12월,부산광역시
피에스텍,코스닥,2230,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",1991-01-04,12월,서울특별시
대현,유가,16090,봉제의복 제조업,1990-09-20,12월,서울특별시
케이비아이동국실업,유가,1620,자동차 신품 부품 제조업,1990-09-15,12월,서울특별시
광명전기,유가,17040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",1990-09-14,12월,경기도
부산산업,유가,11390,"시멘트, 석회, 플라스터 및 그 제품 제조업",1990-09-14,12월,부산광역시
STX,유가,11810,상품 종합 도매업,1990-09-12,12월,경상남도
고려아연,유가,10130,1차 비철금속 제조업,1990-07-28,12월,서울특별시
이렘,코스닥,9730,1차 철강 제조업,1990-07-27,12월,전북특별자치도
팜젠사이언스,유가,4720,의약품 제조업,1990-06-15,12월,경기도
무림페이퍼,유가,9200,"펄프, 종이 및 판지 제조업",1990-06-09,12월,경상남도
현대차증권,유가,1500,금융 지원 서비스업,1990-06-09,12월,서울특별시
금비,유가,8870,유리 및 유리제품 제조업,1990-06-08,09월,경기도
대동전자,유가,8110,통신 및 방송 장비 제조업,1990-06-05,03월,서울특별시
원림,유가,5820,직물직조 및 직물제품 제조업,1990-04-20,12월,서울특별시
