회사명,시장구분,종목코드,업종,상장일,결산월,지역
제이투케이바이오,코스닥,420570,기타 화학제품 제조업,2024-03-25,12월,충청북도
삼현,코스닥,437730,자동차 신품 부품 제조업,2024-03-21,12월,경상남도
오상헬스케어,코스닥,36220,의료용 기기 제조업,2024-03-13,12월,경기도
케이엔알시스템,코스닥,199430,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2024-03-07,12월,경기도
비엔케이제2호스팩,코스닥,473370,금융 지원 서비스업,2024-03-05,12월,서울특별시
하나31호스팩,코스닥,469900,금융 지원 서비스업,2024-03-05,12월,서울특별시
SK증권제11호스팩,코스닥,472230,금융 지원 서비스업,2024-03-04,12월,서울특별시
유안타제15호스팩,코스닥,473050,금융 지원 서비스업,2024-02-29,12월,서울특별시
유진스팩10호,코스닥,468760,금융 지원 서비스업,2024-02-29,12월,서울특별시
에이피알,유가,278470,기타 화학제품 제조업,2024-02-27,12월,서울특별시
E8,코스닥,418620,소프트웨어 개발 및 공급업,2024-02-23,12월,서울특별시
코셈,코스닥,360350,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2024-02-23,12월,대전광역시
케이웨더,코스닥,68100,일반 목적용 기계 제조업,2024-02-22,12월,서울특별시
사피엔반도체,코스닥,452430,반도체 제조업,2024-02-19,12월,경기도
에스피소프트,코스닥,443670,상품 중개업,2024-02-15,12월,경기도
스튜디오삼익,코스닥,415380,기타 생활용품 소매업,2024-02-06,12월,서울특별시
신영스팩10호,코스닥,472220,금융 지원 서비스업,2024-02-06,12월,서울특별시
폰드그룹,코스닥,472850,"섬유, 의복, 신발 및 가죽제품 소매업",2024-02-02,12월,서울특별시
IBKS제24호스팩,코스닥,469480,금융 지원 서비스업,2024-02-01,12월,서울특별시
레이저옵텍,코스닥,199550,의료용 기기 제조업,2024-02-01,12월,경기도
이닉스,코스닥,452400,자동차 신품 부품 제조업,2024-02-01,12월,부산광역시
엘앤에프,유가,66970,일차전지 및 이차전지 제조업,2024-01-29,12월,대구광역시
포스뱅크,코스닥,105760,일반 목적용 기계 제조업,2024-01-29,12월,서울특별시
현대힘스,코스닥,460930,선박 및 보트 건조업,2024-01-26,12월,울산광역시
HB인베스트먼트,코스닥,440290,기타 금융업,2024-01-25,12월,서울특별시
드림인사이트,코스닥,362990,광고업,2024-01-25,12월,서울특별시
대신밸런스제17호스팩,코스닥,471050,금융 지원 서비스업,2024-01-24,12월,서울특별시
우진엔텍,코스닥,457550,"그외 기타 전문, 과학 및 기술 서비스업",2024-01-24,12월,경기도
세븐브로이맥주,코넥스,267080,알코올음료 제조업,2024-01-17,12월,전북특별자치도
한빛레이저,코스닥,452190,특수 목적용 기계 제조업,2024-01-04,12월,대전광역시
